case,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,97,9,0.301198,7.469
tc_public_2,19,4,0.151060,6.879
tc_public_3,100,8,0.302424,7.535
tc_public_4,64,7,0.251294,6.754
tc_public_5,65,2,0.151111,3.977
tc_public_6,162,4,0.251154,8.031
tc_public_7,252,3,0.251436,5.363
tc_public_8,192,4,0.201234,4.855
tc_public_9,194,4,0.251459,5.199
tc_public_10,161,4,0.201220,5.281
tc_public_11,328,7,0.401629,7.695
tc_public_12,1365,12,1.904831,9.676
tc_public_13,1035,14,1.854236,8.680
tc_public_14,2201,15,7.965959,16.926
tc_public_15,897,10,1.453845,8.891
tc_public_16,45,6,0.151017,3.609
tc_public_17,93,6,0.202042,4.133
tc_public_18,411,12,1.754444,4.859
tc_public_19,3429,18,16.331090,18.734
tc_public_20,3588,18,16.729546,21.441
tc_public_21,3579,18,18.833691,20.852
tc_public_22,7590,20,34.261994,39.137
tc_public_23,1297,13,2.154960,9.602
tc_public_24,215,8,0.401940,7.812
tc_public_25,26,4,0.151232,3.805
tc_public_26,847,9,1.453563,8.879
tc_public_27,376,7,0.651881,7.801
tc_public_28,507,8,0.852565,7.348
tc_public_29,109,7,0.251382,6.391
tc_public_30,3846,21,12.472335,25.289

# FLOW_BEGIN
# sop;
# fx;
# strash
# balance
# aigstore -i 0
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1
# rewrite -z
# refactor
# refactor -z
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# dch
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# balance
# balance
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1 
# rewrite_share -z
# refactor
# refactor -z
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# dch
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# balance
# strash
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1
# refactor
# balance
# aigstore -i 1
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1;&get -nm; &sopb; &put; strash;
# aigstore -i 2
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# aigrestore -a
# ps
# FLOW_END
