case,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,107,8,0.100930,24.031
tc_public_2,19,5,0.100920,21.457
tc_public_3,130,8,0.100898,22.289
tc_public_4,101,10,0.100900,22.160
tc_public_5,65,2,0.101068,19.723
tc_public_6,163,4,0.101014,21.965
tc_public_7,191,3,0.101013,20.547
tc_public_8,295,4,0.101002,20.344
tc_public_9,194,4,0.100963,21.668
tc_public_10,132,5,0.101000,21.266
tc_public_11,594,7,0.200944,22.617
tc_public_12,1484,15,0.300913,24.043
tc_public_13,1185,14,0.351142,23.145
tc_public_14,2519,22,2.705717,25.477
tc_public_15,983,13,0.250942,22.480
tc_public_16,45,6,0.101019,21.590
tc_public_17,93,6,0.101027,21.328
tc_public_18,432,14,0.251272,21.645
tc_public_19,3987,22,2.154144,23.379
tc_public_20,4098,20,1.804257,26.027
tc_public_21,4092,20,1.754380,24.055
tc_public_22,8412,24,3.908828,28.574
tc_public_23,1293,17,0.301430,25.359
tc_public_24,232,8,0.151073,21.785
tc_public_25,26,5,0.100942,21.277
tc_public_26,764,12,0.251088,22.629
tc_public_27,397,10,0.150858,21.863
tc_public_28,546,10,0.153316,21.582
tc_public_29,121,5,0.101183,22.000
tc_public_30,6660,22,5.613910,31.641

# FLOW_BEGIN
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if; &put;; sop; fx; strash; ps
# FLOW_END
