case,and_count,lev_count,runtime_sec,extra_peak_rss_mb
tc_public_1,97,9,0.301567,7.461
tc_public_2,19,4,0.151336,6.875
tc_public_3,100,8,0.301445,7.527
tc_public_4,64,7,0.251501,6.746
tc_public_5,65,2,0.151341,3.973
tc_public_6,162,4,0.251406,8.027
tc_public_7,252,3,0.251701,5.359
tc_public_8,192,4,0.251388,4.852
tc_public_9,194,4,0.251566,5.199
tc_public_10,161,4,0.201428,5.277
tc_public_11,328,7,0.401634,7.691
tc_public_12,1365,12,1.954476,9.676
tc_public_13,1035,14,1.804163,8.672
tc_public_14,2201,15,8.165418,16.922
tc_public_15,897,10,1.453587,8.887
tc_public_16,45,6,0.201469,3.605
tc_public_17,93,6,0.253382,4.133
tc_public_18,411,12,1.854366,4.855
tc_public_19,3429,18,16.078677,18.727
tc_public_20,3588,18,17.831790,21.527
tc_public_21,3579,18,17.031177,20.859
tc_public_22,7590,20,34.760775,39.133
tc_public_23,1297,13,2.154670,9.594
tc_public_24,215,8,0.451936,7.809
tc_public_25,26,4,0.151484,3.801
tc_public_26,847,9,1.453622,8.875
tc_public_27,376,7,0.652213,7.797
tc_public_28,507,8,0.852512,7.340
tc_public_29,109,7,0.251578,6.387
tc_public_30,3846,21,12.271998,25.289

# FLOW_BEGIN
# sop;
# fx;
# strash
# balance
# aigstore -i 0
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1
# rewrite -z
# refactor
# refactor -z
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# dch
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# balance
# balance
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1 
# rewrite_share -z
# refactor
# refactor -z
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# dch
# b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rf -l; b -l; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rwz -l; b -l; rfz -l; rwz -l; b -l
# balance
# strash
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1
# refactor
# balance
# aigstore -i 1
# rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1; rewrite_share -z -K 20 -S 1 -T 2 -M 1 -R 1;&get -nm; &sopb; &put; strash;
# aigstore -i 2
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# strash; rewrite;&get -nm; &synch2; &choice; &st; &if -a -K 6 -C 16 -F 2 -A 3; &put;; strash; ps
# aigrestore -a
# ps
# FLOW_END
